strategy,phase,worker,long_12k,requests,tokens
default_fcfs,burst,D0,0,67,548864
default_fcfs,burst,D1,0,66,540672
default_fcfs,burst,D2,67,67,804000
default_fcfs,post,D0,0,300,182068
default_fcfs,post,D1,0,300,207112
default_fcfs,post,D2,0,300,197141
default_fcfs,pre,D0,0,300,206493
default_fcfs,pre,D1,0,300,214801
default_fcfs,pre,D2,0,300,198837
least_active,burst,D0,38,59,628032
least_active,burst,D1,13,68,606560
least_active,burst,D2,16,73,658944
least_active,post,D0,0,340,201059
least_active,post,D1,0,284,190690
least_active,post,D2,0,276,194572
least_active,pre,D0,0,313,214274
least_active,pre,D1,0,298,201531
least_active,pre,D2,0,289,204326
token_balance,burst,D0,21,69,645216
token_balance,burst,D1,21,69,645216
token_balance,burst,D2,25,62,603104
token_balance,post,D0,0,318,201824
token_balance,post,D1,0,260,167572
token_balance,post,D2,0,322,216925
token_balance,pre,D0,0,285,209965
token_balance,pre,D1,0,238,163760
token_balance,pre,D2,0,377,246406
