strategy,request_class,completed,ttft_mean_s,ttft_p99_s,tpot_mean_ms,tpot_p99_ms,e2e_mean_s,e2e_p99_s
default_fcfs,all,1263,3.08166717282944,213.20969386067236,29.863042793487505,118.62942236137,29.788867415355185,408.55121249666433
default_fcfs,background,1200,3.2349974605906753,213.53409780816173,30.413052861995222,120.62390864264802,23.453712526586994,235.4710988426395
default_fcfs,burst_long,21,0.15519718488767034,0.20421586371958256,27.191739700728693,34.02844449804765,435.19584065684603,544.5789023924619
default_fcfs,burst_short,42,0.1640368021935934,0.2036649444606155,15.51031190957539,16.58607761534168,8.089806187986618,8.641915899356828
least_active,all,1263,4.202943115188392,246.4347503967581,30.161143994835946,162.911191026621,31.975778349726856,398.7727458389103
least_active,background,1200,4.415231141218294,247.60368368485942,30.69537374163931,166.3722766171826,25.18817992229791,278.90095898165373
least_active,burst_long,21,0.1517179138692362,0.19771578554064037,29.2257549723269,37.084564213805194,467.7345717161273,593.4734116410837
least_active,burst_short,42,0.16318354356501782,0.21408488651737567,15.390570966318402,16.123459894108038,8.027765307353722,8.405527024883778
token_balance,all,1263,0.183380587331756,0.24076930696144688,26.469252441966177,30.133234412714863,24.456782807825356,419.92005198603493
token_balance,background,1200,0.184308941642909,0.24133294224739077,26.8417560913158,30.142931354297694,18.096964320473685,66.07937115380533
token_balance,burst_long,21,0.1580392158191119,0.2067858401685953,26.25084380249478,26.428225163841418,420.1452892119331,422.9903535911813
token_balance,burst_short,42,0.16952686419799215,0.21430336812511083,15.953233620729364,16.4618828193578,8.321629244390698,8.568504277830943
